,name,address,age,sex,date_of_birth
0,Edith Boudreaux,"11818 Lori Crossing Apt. 802
Pughstad, DC 78165",25.0,F,1993-07-10 00:00:00
1,Terry Terry,"PSC 4657, Box 5446
APO AP 58412",57.0,M,1961-10-04
2,Janet Washington,"Unit 9759 Box 9470
DPO AP 45549",36.0,F,1982-01-28 00:00:00
3,Stephen Lalk,"137 Lewis Flat Suite 762
West Elizabeth, AL 32973",68.0,M,50-06-11
4,Abraham Bruce,"995 Frank Stravenue
South Matthewport, TX 81402",79.0,m,1939/02/12
5,Margaret Chabot,"1781 Meredith Skyway Suite 328
Cordovaburgh, CA 13637",38.0,F,1979-12-11
6,James Wilson,"2415 Elizabeth Knoll Suite 030
Cordovafort, CO 02589",88.0,M,1930-08-12 00:00:00
7,Colleen Satterwhite,"49824 Kim View
West Ericborough, VT 42457",47.0,F,1971-05-28 00 00 00
8,Judy Smith,"53231 Matthew Spur Apt. 079
North Brian, MA 30418",55.0,F,1963-09-26 00 00 00
9,Anna Swartz,"USNV Gallegos
FPO AA 99743",29.0,F,89-04-07
10,Patricia Kealy,"655 Karen Causeway
Benjaminberg, NY 46590",80.0,F,1938-10-28
11,Morgan Toole,"9197 Juarez Lock
New Matthew, VA 12312",72.0,F,1946-02-04 00:00:00
12,Betty Kannel,"9892 Stephen Track Suite 831
Sharonstad, TN 16192",33.0,F,1984-11-02
13,Patricia Wasilewski,"62673 Jeanette Track Apt. 852
Mckenzieberg, WY 57271",85.0,F,1933-07-08
14,Roy Wilson,"85154 Young Mill
Aaronville, IA 31780",70.0,m,1948-06-02
15,Carl Young,"509 Antonio Haven Suite 117
West Ricky, OK 35203",62.0,M,1956-02-13
16,Lori Scott,"024 Jordan Plains Suite 643
Andreamouth, WI 58957",72.0,F,1946-04-06
17,Karen Boyles,"31259 Porter Gateway Suite 886
East Sarahfort, MS 21557",70.0,F,1947-11-14 00 00 00
18,Elizabeth Davis,"USNV Robinson
FPO AA 16102",69.0,F,1949-07-30
19,Debra White,"6135 Keith Route Apt. 868
Abigailchester, OK 63422",74.0,F,43-12-01
20,Kelly Webb,"30989 Robert Stream Apt. 520
Jorgehaven, MS 99923",59.0,F,1958-12-29
21,Sandra Cherry,"6934 Victor Turnpike Apt. 644
Lake Paulamouth, NE 75992",49.0,F,68-12-21
22,Terri Alexander,"83150 James Isle Suite 616
Lake Christinaton, SC 16583",63.0,f,55-04-17
23,Anitra Kennerly,"2397 Powell Skyway Apt. 944
New Brianport, PA 58357",60.0,F,1958-04-11
24,Ronald Speigel,"58132 Emily Club Apt. 346
Emmaborough, LA 16007",57.0,m,1961-05-19 00 00 00
25,Michael Guzman,"4017 Marcus Brook
West Amber, NY 39009",61.0,M,1957-02-28
26,Spencer Castano,"6580 Gregory Fork Apt. 987
Port Joshuaport, NC 69576",59.0,?,1959-09-12
27,Amanda Grulkey,"2503 Brown Island Apt. 531
Fosterton, NC 83127",41.0,F,1977-10-05
28,Melinda Deoliveira,"3266 Michael Walk Suite 579
Angelaside, AL 13883",73.0,F,1944-12-21
29,Linda Stubblefield,"0845 Brown Keys
New Tiffany, AZ 18220",34.0,F,1984-09-09
30,Julia Smith,"39232 Brewer Park Apt. 109
North Sara, ME 96926",86.0,F,1932-06-05
31,Hoyt Martinez,"318 Carpenter Mill
Josephfurt, CA 66815",59.0,?,1959-02-25
32,Nell Lopez,"33135 Elizabeth Squares
Colleenmouth, MN 55019",30.0,F,1988-05-15
33,Ann Johnson,"PSC 0392, Box 5508
APO AE 57181",76.0,F,1942-08-20 00 00 00
34,Judy Sprengeler,"778 Timothy Corners
Bryanfort, ME 91446",26.0,F,1991-11-09
35,Roy Garcia,"USCGC Steele
FPO AA 97314",33.0,M,1984-11-18
36,Simone Houston,"1487 Kirk Haven
Brennanborough, MD 66214",31.0,F,1986-11-16
37,Shannon Murray,"6833 Charles Neck
Port Justin, OK 71696",68.0,M,1949-12-02
38,Cathy Neal,"38302 Bradshaw Rue
North Hannahshire, NC 34515",72.0,F,1946-01-15
39,Lynda Smith,"84279 Amy Islands
Spencertown, NH 55521",44.0,F,74-04-24
40,Connie Herman,"33026 Janet Wells
North Ruthmouth, NM 05023",21.0,F,1997-08-06
41,Albert Cipriano,"990 Wesley Views Suite 718
Johnsonside, ID 33150",57.0,M,1961-01-05
42,David Nason,"0164 Angela Rest Apt. 325
Traceybury, WI 81332",59.0,m,1959-07-17 00 00 00
43,Tara Brown,"4306 Robert Shoals
Debraborough, NJ 93664",63.0,F,1954/11/13
44,Bruce Black,"4081 Montoya Points
Davidside, WA 68358",60.0,M,1958-04-29
45,John Short,"6974 Parker Wall Apt. 272
Lake Micheal, NM 38317",76.0,M,1942-03-16 00:00:00
46,Samuel Ishak,"375 Jasmine Tunnel
Wilsonshire, AR 62810",79.0,m,1939-07-18
47,Anne Robinson,"225 Kristin Gardens Suite 760
Wallerport, KY 10853",27.0,F,1991-08-03
48,Jacqueline Debem,"9307 Jessica Isle Suite 811
Marytown, FL 82740",35.0,F,1983-09-08 00:00:00
49,Roger Harrison,"6648 Carrie Mount Apt. 337
Heatherville, NC 48445",66.0,M,1951-11-18
50,Dean Grimes,"99814 Caitlyn Dam Apt. 151
Juliemouth, FL 56091",53.0,m,1965-10-23 00:00:00
51,Alma Steinle,"77974 Hale Radial
West Kimberly, MI 51749",63.0,F,1955-02-21 00:00:00
52,Edward Straub,"23047 Walters Tunnel
East Charlesland, AK 97484",24.0,M,1993-12-18
53,Barbara Jenkins,"3904 Jeffrey Gardens Suite 105
Bowenmouth, WA 65145",31.0,F,1987-06-12
54,Lucy Booze,"9883 Ramirez River
Lake Michellefurt, NC 70438",41.0,F,1977/06/06
55,Rosemarie Inabinet,"4019 Olsen Glens Suite 728
East Carrietown, NE 66710",37.0,F,81-01-19
56,Dina Nielsen,"66154 Clark Tunnel Apt. 821
Tanyaside, GA 17153",77.0,F,1941-07-01
57,John Ward,"066 Troy Junctions
West Stephanie, RI 41274",39.0,M,02/11/1978
